"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"CHAF1B",584.877978350691,2.03635040031173,0.105626349076228,19.2788108092437,8.09153918512781e-83,1.12002728045496e-80,"Up regulated"
"CCNE1",407.63336002631,3.44120588983739,0.17857389934399,19.2704863503514,9.50387473759309e-83,1.31138528179512e-80,"Up regulated"
"CDT1",732.930799610306,2.87309456329636,0.149450512854995,19.2243874471277,2.31354858481586e-82,3.18232596718292e-80,"Up regulated"
"HS6ST2",1971.22021245757,3.75214027805199,0.196001299343037,19.1434459395347,1.09764743658651e-81,1.48653308240677e-79,"Up regulated"
"ENSG00000137807",821.739000447872,2.7354770155761,0.142905838003936,19.141814314827,1.13256793118249e-81,1.5291061000725e-79,"Up regulated"
"DNA2",395.190784413886,2.35612373082047,0.123277498176335,19.1123584244896,1.99256872312392e-81,2.68196082828081e-79,"Up regulated"
"POLE2",283.723792461618,2.49117047232963,0.130515664804222,19.0871377475376,3.22988498443408e-81,4.30772411039462e-79,"Up regulated"
"GPRIN1",457.441259467424,2.80776995925142,0.147152292170135,19.0807082774159,3.65275296652971e-81,4.85694386116234e-79,"Up regulated"
"PERM1",140.134627449829,3.07975109545131,0.161687505333509,19.0475515662065,6.88479081745459e-81,9.07200409246517e-79,"Up regulated"
"HHIPL2",428.543923702227,6.2605316693852,0.329002808985732,19.0288091724369,9.84648882618745e-81,1.2897136812068e-78,"Up regulated"
"KNTC1",1332.91037297414,2.23383491596832,0.117429580344981,19.0227616364278,1.1050660248427e-80,1.44313071738312e-78,"Up regulated"
"ASF1B",838.170656928908,2.48589611903423,0.130870004378152,18.9951557719153,1.87031740034272e-80,2.42087484394212e-78,"Up regulated"
"FERMT1",1393.11326670301,3.15710594981371,0.166283165124845,18.9863234046776,2.212900015251e-80,2.85587764027055e-78,"Up regulated"
"KNL1",478.522496874608,2.74720510756914,0.144738194143845,18.9805125303615,2.47173062262277e-80,3.17125929795511e-78,"Up regulated"
"FAM111B",529.881752858297,2.83893112842991,0.150080152401931,18.9160997173493,8.40488415443467e-80,1.06897945452881e-77,"Up regulated"
"CHEK1",744.339907988449,2.37052874793423,0.125443397005078,18.8971982944489,1.20271880659011e-79,1.52086739234488e-77,"Up regulated"
"CENPU",710.202658057178,2.51360345661063,0.133146731704568,18.8784465411283,1.71558093281052e-79,2.15696205589664e-77,"Up regulated"
"CDKN3",409.273408558052,3.05660496095949,0.162099228705924,18.8563818925055,2.60443979686217e-79,3.25584654833376e-77,"Up regulated"
"GCNT3",2308.92219768628,4.98974063892505,0.264684011219362,18.8516889098741,2.84609191036546e-79,3.54783144701495e-77,"Up regulated"
"SLC25A10",794.3130521286,2.31163739356108,0.122822362919824,18.8209812822935,5.08343456351573e-79,6.28326831584526e-77,"Up regulated"
"PAFAH1B3",1604.51493125096,2.33163897705985,0.123956060063149,18.8102056153769,6.22956934465826e-79,7.63539869481173e-77,"Up regulated"
"TFR2",150.507962928947,3.0580357556672,0.162990264386189,18.762076171749,1.54254904187557e-78,1.86461458425505e-76,"Up regulated"
"OCIAD2",4998.08308279713,2.23103344743644,0.118911510089385,18.7621319900771,1.54092986459035e-78,1.86461458425505e-76,"Up regulated"
"HELLS",708.104912035266,2.49410124418297,0.133128119539606,18.7345938093939,2.5860779885224e-78,3.10889085091437e-76,"Up regulated"
"MAD2L1",885.654104049159,2.71848592335774,0.145155615190098,18.7280796529819,2.9226978422054e-78,3.50396335022215e-76,"Up regulated"
"LYPD1",252.696804988776,4.23988480430687,0.226419779732461,18.7257703779976,3.05223877953195e-78,3.64929660509761e-76,"Up regulated"
"CENPE",561.744731851758,2.80608686025776,0.14994504522309,18.7141019303628,3.79972141105121e-78,4.53065151618251e-76,"Up regulated"
"PCAT6",204.285608638239,2.82464539243978,0.15108170720871,18.6961442561521,5.32164724124868e-78,6.32814523844854e-76,"Up regulated"
"ENSG00000217801",261.453495553976,2.93170322788952,0.157348507867057,18.6319099407444,1.77090537955131e-77,2.07768869383241e-75,"Up regulated"
"ESCO2",235.086020373603,2.75590321117791,0.147932378292097,18.6294795162172,1.85317639814396e-77,2.16264699931273e-75,"Up regulated"
"TFAP2A",715.635558576051,3.8125955170417,0.204792012441201,18.6169151403616,2.34330146314585e-77,2.72736670825933e-75,"Up regulated"
"FANCI",1357.18673243086,2.10296910723202,0.113226023663828,18.5731958006034,5.29552479860527e-77,6.11479822731581e-75,"Up regulated"
"MMP13",1405.00595230686,6.22556548929457,0.335463819080662,18.5580832721565,7.01636439240062e-77,8.08060507018758e-75,"Up regulated"
"MNX1",115.750062242588,4.32940015916826,0.233725956265262,18.5234033410251,1.33711130379692e-76,1.5199768626763e-74,"Up regulated"
"TONSL",1004.39848851598,2.22568286063146,0.120163765575222,18.5220798464259,1.37039269008455e-76,1.55378451804186e-74,"Up regulated"
"B4GALNT4",511.496652854668,4.86742663555633,0.263027050763118,18.5054222424443,1.86710039073145e-76,2.10607964125721e-74,"Up regulated"
"RDM1",37.5782363847385,3.74251134530607,0.20245675043971,18.485485602124,2.70254941676372e-76,3.03286869202494e-74,"Up regulated"
"ENSG00000230650",71.0183735237922,4.16712412129163,0.225641475245631,18.4678996481269,3.74369135392796e-76,4.19054675813788e-74,"Up regulated"
"SPINK1",9117.32717719761,6.7035048098746,0.363290732739305,18.4521767437569,5.00863955598131e-76,5.57802271768792e-74,"Up regulated"
"PLPP2",3839.69192259355,2.4463188050593,0.132704895656965,18.4342769944441,6.97448422067088e-76,7.68928123414115e-74,"Up regulated"
"YBX2",254.868277846067,4.94386776212638,0.269414841072347,18.350391323835,3.27743435162009e-75,3.54213157425462e-73,"Up regulated"
"ENSG00000177788",50.6473829021612,2.42505695831089,0.132312270287081,18.3282846938473,4.92182907070424e-75,5.30626382784843e-73,"Up regulated"
